threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,12,0,634,218,0.744131455399061,0.0,1.0,0.255868544600939
0.05,12,0,448,404,0.5258215962441315,0.0,1.0,0.4741784037558685
0.1,12,0,258,594,0.3028169014084507,0.0,1.0,0.6971830985915493
0.15000000000000002,12,0,131,721,0.15375586854460094,0.0,1.0,0.846244131455399
0.2,12,0,52,800,0.06103286384976526,0.0,1.0,0.9389671361502347
0.25,12,0,19,833,0.022300469483568074,0.0,1.0,0.9776995305164319
0.30000000000000004,12,0,7,845,0.008215962441314555,0.0,1.0,0.9917840375586855
0.35000000000000003,12,0,1,851,0.0011737089201877935,0.0,1.0,0.9988262910798122
0.4,12,0,0,852,0.0,0.0,1.0,1.0
0.45,11,1,0,852,0.0,0.08333333333333333,0.9166666666666666,1.0
0.5,8,4,0,852,0.0,0.3333333333333333,0.6666666666666667,1.0
0.55,5,7,0,852,0.0,0.5833333333333334,0.41666666666666663,1.0
0.6000000000000001,3,9,0,852,0.0,0.75,0.25,1.0
0.65,3,9,0,852,0.0,0.75,0.25,1.0
0.7000000000000001,0,12,0,852,0.0,1.0,0.0,1.0
0.75,0,12,0,852,0.0,1.0,0.0,1.0
0.8,0,12,0,852,0.0,1.0,0.0,1.0
0.8500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
0.9,0,12,0,852,0.0,1.0,0.0,1.0
0.9500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
1.0,0,12,0,852,0.0,1.0,0.0,1.0
