threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,11,0,574,207,0.734955185659411,0.0,1.0,0.265044814340589
0.05,11,0,415,366,0.5313700384122919,0.0,1.0,0.4686299615877081
0.1,11,0,265,516,0.3393085787451985,0.0,1.0,0.6606914212548015
0.15000000000000002,11,0,143,638,0.18309859154929578,0.0,1.0,0.8169014084507042
0.2,11,0,66,715,0.08450704225352113,0.0,1.0,0.9154929577464789
0.25,11,0,22,759,0.028169014084507043,0.0,1.0,0.971830985915493
0.30000000000000004,11,0,11,770,0.014084507042253521,0.0,1.0,0.9859154929577465
0.35000000000000003,11,0,2,779,0.002560819462227913,0.0,1.0,0.9974391805377721
0.4,11,0,1,780,0.0012804097311139564,0.0,1.0,0.998719590268886
0.45,10,1,0,781,0.0,0.09090909090909091,0.9090909090909091,1.0
0.5,9,2,0,781,0.0,0.18181818181818182,0.8181818181818181,1.0
0.55,9,2,0,781,0.0,0.18181818181818182,0.8181818181818181,1.0
0.6000000000000001,7,4,0,781,0.0,0.36363636363636365,0.6363636363636364,1.0
0.65,5,6,0,781,0.0,0.5454545454545454,0.4545454545454546,1.0
0.7000000000000001,3,8,0,781,0.0,0.7272727272727273,0.2727272727272727,1.0
0.75,1,10,0,781,0.0,0.9090909090909091,0.09090909090909094,1.0
0.8,1,10,0,781,0.0,0.9090909090909091,0.09090909090909094,1.0
0.8500000000000001,0,11,0,781,0.0,1.0,0.0,1.0
0.9,0,11,0,781,0.0,1.0,0.0,1.0
0.9500000000000001,0,11,0,781,0.0,1.0,0.0,1.0
1.0,0,11,0,781,0.0,1.0,0.0,1.0
