threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,13,0,611,240,0.717978848413631,0.0,1.0,0.282021151586369
0.05,12,1,414,437,0.4864864864864865,0.07692307692307693,0.9230769230769231,0.5135135135135135
0.1,12,1,230,621,0.2702702702702703,0.07692307692307693,0.9230769230769231,0.7297297297297297
0.15000000000000002,12,1,105,746,0.12338425381903642,0.07692307692307693,0.9230769230769231,0.8766157461809636
0.2,10,3,49,802,0.057579318448883664,0.23076923076923078,0.7692307692307692,0.9424206815511164
0.25,10,3,20,831,0.023501762632197415,0.23076923076923078,0.7692307692307692,0.9764982373678026
0.30000000000000004,9,4,6,845,0.007050528789659225,0.3076923076923077,0.6923076923076923,0.9929494712103408
0.35000000000000003,9,4,2,849,0.0023501762632197414,0.3076923076923077,0.6923076923076923,0.9976498237367802
0.4,9,4,0,851,0.0,0.3076923076923077,0.6923076923076923,1.0
0.45,8,5,0,851,0.0,0.38461538461538464,0.6153846153846154,1.0
0.5,6,7,0,851,0.0,0.5384615384615384,0.46153846153846156,1.0
0.55,4,9,0,851,0.0,0.6923076923076923,0.3076923076923077,1.0
0.6000000000000001,2,11,0,851,0.0,0.8461538461538461,0.15384615384615385,1.0
0.65,1,12,0,851,0.0,0.9230769230769231,0.07692307692307687,1.0
0.7000000000000001,0,13,0,851,0.0,1.0,0.0,1.0
0.75,0,13,0,851,0.0,1.0,0.0,1.0
0.8,0,13,0,851,0.0,1.0,0.0,1.0
0.8500000000000001,0,13,0,851,0.0,1.0,0.0,1.0
0.9,0,13,0,851,0.0,1.0,0.0,1.0
0.9500000000000001,0,13,0,851,0.0,1.0,0.0,1.0
1.0,0,13,0,851,0.0,1.0,0.0,1.0
