threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,12,0,626,226,0.7347417840375586,0.0,1.0,0.26525821596244137
0.05,12,0,463,389,0.5434272300469484,0.0,1.0,0.4565727699530516
0.1,12,0,298,554,0.34976525821596244,0.0,1.0,0.6502347417840375
0.15000000000000002,12,0,166,686,0.19483568075117372,0.0,1.0,0.8051643192488263
0.2,12,0,68,784,0.07981220657276995,0.0,1.0,0.92018779342723
0.25,12,0,21,831,0.02464788732394366,0.0,1.0,0.9753521126760564
0.30000000000000004,10,2,10,842,0.011737089201877934,0.16666666666666666,0.8333333333333334,0.9882629107981221
0.35000000000000003,9,3,3,849,0.0035211267605633804,0.25,0.75,0.9964788732394366
0.4,8,4,0,852,0.0,0.3333333333333333,0.6666666666666667,1.0
0.45,8,4,0,852,0.0,0.3333333333333333,0.6666666666666667,1.0
0.5,6,6,0,852,0.0,0.5,0.5,1.0
0.55,5,7,0,852,0.0,0.5833333333333334,0.41666666666666663,1.0
0.6000000000000001,4,8,0,852,0.0,0.6666666666666666,0.33333333333333337,1.0
0.65,1,11,0,852,0.0,0.9166666666666666,0.08333333333333337,1.0
0.7000000000000001,1,11,0,852,0.0,0.9166666666666666,0.08333333333333337,1.0
0.75,0,12,0,852,0.0,1.0,0.0,1.0
0.8,0,12,0,852,0.0,1.0,0.0,1.0
0.8500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
0.9,0,12,0,852,0.0,1.0,0.0,1.0
0.9500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
1.0,0,12,0,852,0.0,1.0,0.0,1.0
