threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,12,0,604,248,0.7089201877934272,0.0,1.0,0.29107981220657275
0.05,12,0,426,426,0.5,0.0,1.0,0.5
0.1,12,0,260,592,0.3051643192488263,0.0,1.0,0.6948356807511737
0.15000000000000002,12,0,141,711,0.16549295774647887,0.0,1.0,0.8345070422535211
0.2,12,0,58,794,0.06807511737089202,0.0,1.0,0.931924882629108
0.25,12,0,17,835,0.01995305164319249,0.0,1.0,0.9800469483568075
0.30000000000000004,12,0,7,845,0.008215962441314555,0.0,1.0,0.9917840375586855
0.35000000000000003,12,0,3,849,0.0035211267605633804,0.0,1.0,0.9964788732394366
0.4,12,0,1,851,0.0011737089201877935,0.0,1.0,0.9988262910798122
0.45,12,0,1,851,0.0011737089201877935,0.0,1.0,0.9988262910798122
0.5,12,0,0,852,0.0,0.0,1.0,1.0
0.55,12,0,0,852,0.0,0.0,1.0,1.0
0.6000000000000001,12,0,0,852,0.0,0.0,1.0,1.0
0.65,11,1,0,852,0.0,0.08333333333333333,0.9166666666666666,1.0
0.7000000000000001,9,3,0,852,0.0,0.25,0.75,1.0
0.75,5,7,0,852,0.0,0.5833333333333334,0.41666666666666663,1.0
0.8,4,8,0,852,0.0,0.6666666666666666,0.33333333333333337,1.0
0.8500000000000001,1,11,0,852,0.0,0.9166666666666666,0.08333333333333337,1.0
0.9,0,12,0,852,0.0,1.0,0.0,1.0
0.9500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
1.0,0,12,0,852,0.0,1.0,0.0,1.0
